cleaned_content,intensity
sometim angri hurt big differ,angriness
avail busi peopl smile face,angriness
exist impress world exist live life way make happi,angriness
everyth get expens except peopl get cheaper,angriness
phone screen brighter futur slightli frown face,angriness
anger feel make mouth work faster mind,angriness
thi man man man good man way man man keep man man idiot man busi man man man second man read without man,angriness
sometim best way get someon attent stop give,angriness
peopl like bring past present futur look better,angriness
wakeup job noluv daaru sleep repeat,angriness
hater thank make famou give sh talk behind back,angriness
hurt worst person made feel special yesterday make feel unwant today,angriness
life short wast read whatsapp statu,angriness
treat way treat would hate gut,angriness
girl r like potato chip cannot,angriness
ask life would sacrif smile strip pride,angriness
peopl alway miss find much happier without,angriness
peopl chang one two reason learn lot hurt mani time,angriness
fail feel shame onli step away success smile face,angriness
get betray peopl never thought,angriness
doe ass ever get jealou shit come mouth,angriness
give lot import someon loss import life,angriness
solut onli focu neg,angriness
everi neg posit find util,angriness
alway focu neg never see posit,angriness
neg cancer soul spread like flu,angriness
realiz power thought would never think neg thought,angriness
life give lemon squeez peopl eye,angriness
take nice long shit stress,angriness
disturb disturb enough alreadi,angriness
pleas interrupt ignor,angriness
stop let world chang chang world,angriness
think thing look come fuck fairi whi cannot thing go right chang,angriness
look past yeah alot hurt know onli made stronger,angriness
talk behind back onli becaus afraid say thing face,angriness
whi doe one ever want talk elev,angriness
heard said listen better next time,angriness
think befor assum next time quick judg never know like shoe,angriness
wish peopl would understand,angriness
go ahead ignor play game probabl better,angriness
time disrespect immatur selfish individu,angriness
ever notic peopl say hate drama start doe make sens,angriness
wonder certain peopl work annoy come natur,angriness
peopl work hard get credit peopl noth get everyth,angriness
peopl like tree take forev grow,angriness
ugh fake bet look bottom foot say made china,angriness
life short let peopl get cannot handl need life,angriness
care think care think,angriness
peopl selfish day,angriness
tell chang cannot perfect anymor,angriness
kill wa left good,angriness
never dream success work,angriness
like rememb mind matter mind matter,angriness
becaus origin worth copi,angriness
ye selfish want share peopl,angriness
onli selfish come,angriness
done like care think,angriness
approv need,angriness
would rather hate real love fake,angriness
good got,angriness
simpl complex gener selfish unattract beauti lazi driven,angriness
beauti captur attent person captur heart,angriness
left without reason pleas come back excus,angriness
born express impress,angriness
ego speak attitud repli,angriness
befor judg make sure perfect,angriness
treat peopl badli treat accordingli,angriness
life rule attitud,angriness
want fuck feel,angriness
never love someon cost digniti self respect,angriness
beauti onli skin deep attitud bone,angriness
treat like option left like choic,angriness
two way happi chang situat chang mindset toward,angriness
attitud may hurt mine kill,angriness
veri privat person ask tell,angriness
toy,angriness
sometim want treat peopl treat becaus charact,angriness
ever think ignor swear phone hand,angriness
take care statu care taker statu,angriness
one hold hand put hand pocket continu walk,angriness
afraid outnumb eagl fli alon pigeon flock togeth,angriness
chang anyon,angriness
care peopl care,angriness
nobodi teach,angriness
ye smile reason anymor,angriness
choos lose backup plan definit second choic,angriness
go crazi crazi go normal time time,angriness
never never never never give,angriness
differ somebodi want somebodi would anyth keep rememb,angriness
befor judg make sure perfect,angriness
enough middl finger show feel,angriness
ye chang pain doe peopl,angriness
dear girl stop compar guy ex us player jerk,angriness
bravest thing ever wa continu life want die,angriness
show tell,angriness
fear commit fear wast time,angriness
live love fight cri never give,angriness
treat feel,angriness
someon ask attitud simpli repli singl attitud,angriness
attitud depend peopl front,angriness
selfish mine mine end stori,angriness
want let know pleas gentli let go,angriness
laugh becaus differ laugh becaus,angriness
insult peopl describ,angriness
two fundament cool life walk like king walk like care king,angriness
trust word mean noth becaus action spoke truth,angriness
like rais hand rais standard,angriness
beauti fade time person forev,angriness
dear broken heart girl hold head high middl finger higher let know miss,angriness
girl mind bitch attitud ladi class,angriness
need peopl come need throw asid fine,angriness
thi goe respect respect forget forget simpl,angriness
sum one hate reason give reason,angriness
never give someth love,angriness
excel skill attitud,angriness
want come get want come forget,angriness
good girl bad girl never get caught,angriness
keep relationship must keep busi partner whole world doe need know problem,angriness
still hate problem,angriness
problem problem problem attitud toward problem,angriness
girl like park space good one alreadi taken,angriness
see ex go put priceless,angriness
stop ask faith girl busi chase hoe,angriness
onli differ good day bad day attitud,angriness
trust easili tell trust pleas make regret,angriness
tumblr girl beauti,angriness
girl say gentlemen exist anymor exist gentlemen attract ladi slut,angriness
even tri judg dude idea fuck,angriness
want let know pleas gentli let go,angriness
put headphon avoid peopl bullshit,angriness
scare see someon els,angriness
silenc best way react angri,angriness
hate moment suddenli anger turn tear,angriness
silenc best way react angri,angriness
thing never forgotten forgiven,angriness
word describ anger frustrat feel right,angriness
make mani promis cannot even keep one,angriness
sometim angri hurt big differ,angriness
better cri angri becaus anger hurt tear flow silent soul cleanes heart,angriness
delet number basic delet life,angriness
get angri actual punish mistak,angriness
peopl never realis emot mental damag,angriness
mistak let go mistak wa let,angriness
nobodi make angri decid use anger respons,angriness
person said sweetest thing also said meanest thing ever heard,angriness
never forget someon say angri becaus truth come,angriness
know hate hate ourselv,angriness
peopl need open small mind instead big mouth,angriness
anger feel make mouth work faster mind,angriness
angri text speed increas ridicul amount,angriness
everi minut angri lose sixti second happi think,angriness
suck realiz reject peopl one person wast time,angriness
anger natur deffens pain say hate realli mean hurt,angriness
everyth get expens except peopl get cheaper,angriness
anger poison must purg mind els corrupt better natur,angriness
say milk good teeth know els good teeth mind damn busi,angriness
anger make smaller forgivi forc grow beyond,angriness
